module,blueprint,route,full_path,methods,function_name,auth_guards,line
blueprints/auth/views.py,bp_auth,/user/client,/auth/user/client,GET|POST|PUT|DELETE,user_client_api,,467
blueprints/auth/views.py,bp_auth,/user/reset-passwd,/auth/user/reset-passwd,GET|POST|PUT|DELETE,user_reset_passwd_api,,493
blueprints/index/chart_views.py,bp_chart,/money/count,/chart/money/count,GET|POST|PUT|PATCH|DELETE,money_count_api,,126
blueprints/index/chart_views.py,bp_chart,/money/count/<mtype>,/chart/money/count/<mtype>,GET|POST|PUT|PATCH|DELETE,money_count_api,,127
blueprints/index/chart_views.py,bp_chart,/order/count,/chart/order/count,GET|POST|PUT|PATCH|DELETE,order_count_api,,33
blueprints/index/chart_views.py,bp_chart,/order/count/week,/chart/order/count/week,GET|POST|PUT|PATCH|DELETE,order_count_week_api,,76
blueprints/index/chart_views.py,bp_chart,/order/count/year,/chart/order/count/year,GET|POST|PUT|PATCH|DELETE,order_count_year_api,,42
blueprints/index/views.py,bp_index,/erp,/erp,GET,vue_index,,20
blueprints/finance/views.py,bp_finance,/money,/finance/money,GET|POST|PUT|PATCH|DELETE,money_api,,36
blueprints/finance/views.py,bp_finance,/money/<action>/<int:money_id>,/finance/money/<action>/<int:money_id>,GET|POST|PUT|PATCH|DELETE,money_action_api,,120
blueprints/finance/views.py,bp_finance,/money/<int:money_id>,/finance/money/<int:money_id>,GET|POST|PUT|PATCH|DELETE,money_api,,37
blueprints/finance/views.py,bp_finance,/money/account,/finance/money/account,GET|POST|PUT|PATCH|DELETE,money_account_api,,234
blueprints/finance/views.py,bp_finance,/money/account/<int:account_id>,/finance/money/account/<int:account_id>,GET|POST|PUT|PATCH|DELETE,money_account_api,,235
blueprints/finance/views.py,bp_finance,/money/month/summary,/finance/money/month/summary,GET|POST,money_month_summary_api,,172
blueprints/finance/views.py,bp_finance,/money/summary,/finance/money/summary,GET|POST|PUT|PATCH|DELETE,money_summary_api,,154
blueprints/finance/views.py,bp_finance,/money/trans/<int:money_id>,/finance/money/trans/<int:money_id>,GET|POST|PUT|PATCH|DELETE,money_trans_api,,143
blueprints/finance/stat_views.py,bp_finance_stat,/goods/stockin,/finance/stat/goods/stockin,GET|POST|PUT|PATCH|DELETE,goods_stockin_api,,58
blueprints/finance/stat_views.py,bp_finance_stat,/goods/stockin/detail,/finance/stat/goods/stockin/detail,GET|POST|PUT|PATCH|DELETE,goods_stockin_api,,59
blueprints/finance/stat_views.py,bp_finance_stat,/goods/stockout,/finance/stat/goods/stockout,GET|POST|PUT|PATCH|DELETE,goods_stockout_api,,228
blueprints/finance/stat_views.py,bp_finance_stat,/goods/stockout/detail,/finance/stat/goods/stockout/detail,GET|POST|PUT|PATCH|DELETE,goods_stockout_api,,229
blueprints/finance/stat_views.py,bp_finance_stat,/partner/summary,/finance/stat/partner/summary,GET|POST|PUT|PATCH|DELETE,partner_summary_api,,394
blueprints/inv/views.py,bp_inv,/adjust,/inv/adjust,GET|POST|PUT|DELETE,adjust_api,,939
blueprints/inv/views.py,bp_inv,/adjust/<line_id>,/inv/adjust/<line_id>,GET|POST|PUT|DELETE,adjust_api,,940
blueprints/inv/views.py,bp_inv,/adjust/exec/<series_code>,/inv/adjust/exec/<series_code>,POST,adjust_exec_api,,988
blueprints/inv/views.py,bp_inv,/asset,/inv/asset,GET|POST|PUT|PATCH|DELETE,inv_asset_api,,1229
blueprints/inv/views.py,bp_inv,/count,/inv/count,GET|POST|PUT|DELETE,count_api,,1009
blueprints/inv/views.py,bp_inv,/count/<line_id>,/inv/count/<line_id>,GET|POST|PUT|DELETE,count_api,,1011
blueprints/inv/views.py,bp_inv,/count/cancel/<series_code>,/inv/count/cancel/<series_code>,GET|POST,count_cancel_api,,1122
blueprints/inv/views.py,bp_inv,/count/create_lines,/inv/count/create_lines,GET|POST|PUT|DELETE,count_api,,1010
blueprints/inv/views.py,bp_inv,/count/pda,/inv/count/pda,GET|POST|PUT|DELETE,count_api,,1012
blueprints/inv/views.py,bp_inv,/count/to_adjust/<series_code>,/inv/count/to_adjust/<series_code>,POST,count_to_adjust_api,,1097
blueprints/inv/views.py,bp_inv,/count/to_adjust/<series_code>/exec,/inv/count/to_adjust/<series_code>/exec,POST,count_to_adjust_api,,1098
blueprints/inv/views_freeze.py,bp_inv_freeze,/do,/inv/freeze/do,GET|POST,freeze_do_api,,36
blueprints/inv/views_freeze.py,bp_inv_freeze,/undo,/inv/freeze/undo,GET|POST,unfreeze_undo_api,,50
blueprints/inv/views.py,bp_inv,/good,/inv/good,GET|POST|PUT|PATCH|DELETE,good_api,,307
blueprints/inv/views.py,bp_inv,/good/<good_id>/ad_image,/inv/good/<good_id>/ad_image,GET|POST|PUT|DELETE,good_ad_image_api,,639
blueprints/inv/views.py,bp_inv,/good/<good_id>/image,/inv/good/<good_id>/image,GET|POST|PUT|DELETE,good_image_api,,569
blueprints/inv/views.py,bp_inv,/good/<good_id>/ondown,/inv/good/<good_id>/ondown,GET|POST|PUT|DELETE,good_ondown_api,,681
blueprints/inv/views.py,bp_inv,/good/supply_demand,/inv/good/supply_demand,GET|POST|PUT|PATCH|DELETE,good_supply_demand_api,,449
blueprints/inv/views.py,bp_inv,/good/v2,/inv/good/v2,GET|POST|PUT|PATCH|DELETE,good_api,,308
blueprints/inv/views.py,bp_inv,/inv,/inv/inv,GET|POST|PUT|PATCH|DELETE,inv_api,,35
